"Czas","Data","Godzina","Al. USA - suma","Al. USA - południe","Al. USA - północ","Banacha","Bazyliańska","Belwederska","Dworzec Wilenski (al. Solidarności)","Dworzec Wileński (Targowa)","Marszałkowska","Most Gdański - suma","Most Gdański - ciąg pieszo-rowerowy","Most Gdanski - ścieżka rowerowa","NSR - Solec - suma","NSR - Solec - ciąg pieszo-rowerowy","NSR-Solec - ścieżka rowerowa","Praska ścieżka rekreacyjna","Świętokrzyska - Emilii Plater - suma","Świętokrzyska - Emilii Plater, płd","Świętokrzyska - Emilii Plater, płn","Wybrzeże Helskie","Wysockiego","Żwirki i Wigury/Trojdena - suma","Żwirki i Wigury/Trojdena zach.","Żwirki i Wigury/Trojdena wsch.","Jaki_dzien"
2017-05-18 01:00:00,2017-05-18,1,7,6,1,5,0,5,9,3,4,7,1,6,7,0,7,0,17,8,9,7,0,19,11,8,"roboczy"
2017-05-18 02:00:00,2017-05-18,2,0,0,0,6,0,1,0,5,5,0,0,0,1,0,1,0,18,10,8,2,0,2,0,2,"roboczy"
2017-05-18 03:00:00,2017-05-18,3,1,1,0,4,0,1,2,2,0,0,0,0,0,0,0,2,5,1,4,2,7,2,1,1,"roboczy"
2017-05-18 04:00:00,2017-05-18,4,2,2,0,3,2,2,14,4,4,4,0,4,2,0,2,0,5,3,2,5,4,3,1,2,"roboczy"
2017-05-18 05:00:00,2017-05-18,5,12,9,3,27,5,10,27,17,5,22,3,19,22,1,21,2,28,11,17,49,16,18,3,15,"roboczy"
2017-05-18 06:00:00,2017-05-18,6,43,33,10,150,15,44,90,38,33,53,11,42,57,6,51,2,145,69,76,128,44,104,18,86,"roboczy"
2017-05-18 07:00:00,2017-05-18,7,100,65,35,421,22,128,181,109,98,136,41,95,140,12,128,9,427,216,211,216,53,289,71,218,"roboczy"
2017-05-18 08:00:00,2017-05-18,8,106,79,27,562,18,196,191,131,148,146,32,114,145,9,136,20,658,328,330,235,36,374,69,305,"roboczy"
2017-05-18 09:00:00,2017-05-18,9,91,60,31,320,13,133,101,78,96,90,12,78,86,7,79,19,438,222,216,138,29,193,36,157,"roboczy"
2017-05-18 10:00:00,2017-05-18,10,48,37,11,192,8,87,56,70,70,72,15,57,59,4,55,15,226,122,104,89,26,94,24,70,"roboczy"
2017-05-18 11:00:00,2017-05-18,11,55,39,16,167,19,64,68,55,64,96,23,73,59,4,55,22,234,124,110,112,45,119,40,79,"roboczy"
2017-05-18 12:00:00,2017-05-18,12,52,35,17,172,16,80,63,67,64,59,16,43,64,6,58,41,237,126,111,113,43,152,38,114,"roboczy"
2017-05-18 13:00:00,2017-05-18,13,79,45,34,183,12,81,68,55,70,105,14,91,68,4,64,32,333,184,149,109,38,167,44,123,"roboczy"
2017-05-18 14:00:00,2017-05-18,14,85,51,34,200,14,94,99,97,92,115,36,79,104,8,96,42,328,190,138,157,66,147,38,109,"roboczy"
2017-05-18 15:00:00,2017-05-18,15,131,69,62,308,19,134,147,122,117,198,41,157,144,9,135,68,496,268,228,250,71,246,49,197,"roboczy"
2017-05-18 16:00:00,2017-05-18,16,173,120,53,520,20,270,225,166,179,291,69,222,242,16,226,47,753,398,355,389,94,365,55,310,"roboczy"
2017-05-18 17:00:00,2017-05-18,17,191,134,57,639,26,323,216,165,155,315,47,268,300,7,293,108,755,390,365,336,102,456,65,391,"roboczy"
2017-05-18 18:00:00,2017-05-18,18,245,168,77,443,48,220,220,153,126,318,20,298,302,6,296,139,610,310,300,328,117,383,51,332,"roboczy"
2017-05-18 19:00:00,2017-05-18,19,269,181,88,327,33,178,193,135,104,289,9,280,353,3,350,121,518,291,227,272,137,324,61,263,"roboczy"
2017-05-18 20:00:00,2017-05-18,20,223,147,76,272,19,131,143,115,108,261,8,253,286,7,279,94,434,266,168,217,105,227,40,187,"roboczy"
2017-05-18 21:00:00,2017-05-18,21,119,72,47,154,18,87,93,60,76,125,4,121,213,2,211,30,353,237,116,133,50,121,26,95,"roboczy"
2017-05-18 22:00:00,2017-05-18,22,64,44,20,86,5,57,52,60,52,74,3,71,84,0,84,3,212,148,64,92,22,66,16,50,"roboczy"
2017-05-18 23:00:00,2017-05-18,23,38,34,4,53,1,21,32,25,39,40,4,36,61,0,61,4,147,107,40,26,7,43,11,32,"roboczy"
2017-05-19 00:00:00,2017-05-19,0,23,13,10,21,3,16,10,10,24,8,0,8,29,0,29,0,70,55,15,27,5,26,6,20,"roboczy"
2017-05-19 01:00:00,2017-05-19,1,5,3,2,7,1,10,3,7,8,2,1,1,8,0,8,0,31,24,7,3,3,7,1,6,"roboczy"
2017-05-19 02:00:00,2017-05-19,2,1,1,0,3,0,3,0,3,3,1,1,0,3,0,3,1,18,14,4,8,0,5,4,1,"roboczy"
2017-05-19 03:00:00,2017-05-19,3,1,0,1,2,1,0,4,5,5,2,0,2,1,0,1,2,8,5,3,2,4,3,1,2,"roboczy"
2017-05-19 04:00:00,2017-05-19,4,5,3,2,3,2,1,8,3,1,2,0,2,2,0,2,0,8,6,2,4,5,2,1,1,"roboczy"
2017-05-19 05:00:00,2017-05-19,5,4,4,0,21,8,6,31,18,3,19,4,15,22,0,22,3,28,16,12,34,14,19,4,15,"roboczy"
2017-05-19 06:00:00,2017-05-19,6,41,34,7,133,15,37,101,49,31,51,9,42,74,4,70,8,130,65,65,123,41,101,30,71,"roboczy"
2017-05-19 07:00:00,2017-05-19,7,96,60,36,437,23,119,186,121,106,119,22,97,109,10,99,14,440,230,210,237,55,288,64,224,"roboczy"
2017-05-19 08:00:00,2017-05-19,8,107,77,30,570,13,175,146,118,127,116,18,98,138,12,126,20,600,313,287,210,34,364,81,283,"roboczy"
2017-05-19 09:00:00,2017-05-19,9,71,49,22,279,11,99,82,49,117,67,16,51,85,9,76,17,441,222,219,130,32,185,51,134,"roboczy"
2017-05-19 10:00:00,2017-05-19,10,65,39,26,194,8,72,51,71,55,98,32,66,73,5,68,15,222,111,111,92,35,129,35,94,"roboczy"
2017-05-19 11:00:00,2017-05-19,11,61,32,29,167,13,73,64,52,71,89,22,67,58,8,50,35,240,119,121,107,41,108,27,81,"roboczy"
2017-05-19 12:00:00,2017-05-19,12,67,36,31,169,16,74,64,84,92,126,56,70,80,12,68,41,329,166,163,125,41,105,24,81,"roboczy"
2017-05-19 13:00:00,2017-05-19,13,83,52,31,181,15,78,71,77,105,187,79,108,83,12,71,52,306,182,124,151,41,153,41,112,"roboczy"
2017-05-19 14:00:00,2017-05-19,14,73,48,25,204,15,100,111,70,126,204,104,100,107,14,93,47,336,180,156,146,47,170,44,126,"roboczy"
2017-05-19 15:00:00,2017-05-19,15,129,91,38,283,24,168,164,151,143,260,108,152,188,14,174,60,510,290,220,265,64,235,42,193,"roboczy"
2017-05-19 16:00:00,2017-05-19,16,151,102,49,536,31,274,205,164,190,388,147,241,238,16,222,68,719,382,337,355,112,378,71,307,"roboczy"
2017-05-19 17:00:00,2017-05-19,17,197,129,68,556,27,279,191,167,164,351,92,259,297,8,289,116,701,373,328,358,83,404,64,340,"roboczy"
2017-05-19 18:00:00,2017-05-19,18,243,177,66,354,32,204,170,169,139,309,41,268,303,4,299,157,525,278,247,368,101,285,48,237,"roboczy"
2017-05-19 19:00:00,2017-05-19,19,241,152,89,325,41,173,180,173,117,265,22,243,339,2,337,147,477,267,210,293,109,296,46,250,"roboczy"
2017-05-19 20:00:00,2017-05-19,20,162,110,52,284,29,122,137,139,94,278,8,270,342,4,338,107,419,232,187,246,73,215,46,169,"roboczy"
2017-05-19 21:00:00,2017-05-19,21,107,72,35,174,18,86,114,110,75,181,8,173,212,2,210,50,314,197,117,158,52,130,25,105,"roboczy"
2017-05-19 22:00:00,2017-05-19,22,57,39,18,134,8,76,56,72,53,116,3,113,176,1,175,15,254,169,85,161,30,78,15,63,"roboczy"
2017-05-19 23:00:00,2017-05-19,23,49,34,15,92,3,30,35,41,55,66,1,65,106,0,106,13,171,116,55,52,15,55,9,46,"roboczy"
2017-05-20 00:00:00,2017-05-20,0,22,13,9,41,1,25,26,38,25,31,0,31,75,0,75,10,119,80,39,29,6,34,9,25,"weekend"
2017-05-20 01:00:00,2017-05-20,1,18,9,9,27,1,13,14,12,17,16,0,16,35,0,35,0,64,44,20,18,4,16,5,11,"weekend"
2017-05-20 02:00:00,2017-05-20,2,3,3,0,11,1,6,7,6,10,8,0,8,25,0,25,0,36,29,7,5,2,10,3,7,"weekend"
2017-05-20 03:00:00,2017-05-20,3,11,6,5,1,0,5,5,2,9,5,0,5,13,0,13,1,20,16,4,6,2,7,3,4,"weekend"
2017-05-20 04:00:00,2017-05-20,4,2,1,1,8,1,4,4,10,8,1,0,1,9,0,9,0,18,16,2,3,3,6,1,5,"weekend"
2017-05-20 05:00:00,2017-05-20,5,11,6,5,9,2,5,12,8,5,8,4,4,9,1,8,5,10,7,3,16,5,7,2,5,"weekend"
2017-05-20 06:00:00,2017-05-20,6,13,8,5,30,6,9,21,16,11,26,2,24,21,2,19,2,39,16,23,29,11,26,9,17,"weekend"
2017-05-20 07:00:00,2017-05-20,7,24,17,7,49,3,19,24,36,11,37,8,29,27,3,24,4,73,44,29,56,16,36,7,29,"weekend"
2017-05-20 08:00:00,2017-05-20,8,45,23,22,72,13,35,51,65,24,64,10,54,66,5,61,13,126,62,64,79,21,58,15,43,"weekend"
2017-05-20 09:00:00,2017-05-20,9,57,37,20,104,16,67,56,59,36,89,15,74,93,13,80,30,187,89,98,119,45,94,20,74,"weekend"
2017-05-20 10:00:00,2017-05-20,10,90,66,24,193,22,101,103,112,65,155,27,128,129,11,118,59,247,126,121,169,64,147,31,116,"weekend"
2017-05-20 11:00:00,2017-05-20,11,122,75,47,252,24,128,112,115,94,221,32,189,229,15,214,125,350,148,202,260,85,163,21,142,"weekend"
2017-05-20 12:00:00,2017-05-20,12,141,97,44,295,31,202,141,149,102,360,52,308,271,24,247,179,412,195,217,309,116,186,41,145,"weekend"
2017-05-20 13:00:00,2017-05-20,13,181,114,67,284,37,183,144,161,121,624,208,416,431,31,400,251,467,229,238,358,94,231,30,201,"weekend"
2017-05-20 14:00:00,2017-05-20,14,203,127,76,287,33,192,189,148,122,631,252,379,408,42,366,247,445,243,202,403,93,229,47,182,"weekend"
2017-05-20 15:00:00,2017-05-20,15,219,121,98,312,33,206,164,175,124,667,321,346,521,53,468,247,420,232,188,366,103,248,59,189,"weekend"
2017-05-20 16:00:00,2017-05-20,16,218,145,73,336,50,202,179,175,105,647,246,401,478,30,448,253,462,255,207,429,135,288,31,257,"weekend"
2017-05-20 17:00:00,2017-05-20,17,251,143,108,357,23,197,160,141,148,472,27,445,448,17,431,192,492,273,219,350,122,227,25,202,"weekend"
2017-05-20 18:00:00,2017-05-20,18,222,169,53,312,32,218,198,167,113,416,12,404,459,7,452,209,487,280,207,420,152,264,35,229,"weekend"
2017-05-20 19:00:00,2017-05-20,19,246,159,87,271,21,189,189,149,142,349,5,344,393,4,389,176,545,324,221,359,140,237,39,198,"weekend"
2017-05-20 20:00:00,2017-05-20,20,176,119,57,246,24,136,187,124,95,299,3,296,353,3,350,69,480,277,203,331,92,177,41,136,"weekend"
2017-05-20 21:00:00,2017-05-20,21,123,82,41,163,22,117,122,68,126,222,4,218,258,3,255,37,457,247,210,191,55,164,35,129,"weekend"
2017-05-20 22:00:00,2017-05-20,22,51,35,16,136,5,78,85,67,94,129,3,126,207,1,206,17,336,222,114,219,31,92,23,69,"weekend"
2017-05-20 23:00:00,2017-05-20,23,28,20,8,66,5,49,73,79,70,48,2,46,114,0,114,7,254,170,84,81,18,45,9,36,"weekend"
2017-05-21 00:00:00,2017-05-21,0,19,16,3,48,0,48,35,51,36,22,0,22,93,1,92,3,167,115,52,40,3,41,11,30,"weekend"
2017-05-21 01:00:00,2017-05-21,1,16,9,7,27,0,31,23,21,31,11,0,11,51,0,51,4,92,76,16,21,2,27,10,17,"weekend"
2017-05-21 02:00:00,2017-05-21,2,8,6,2,15,0,10,13,8,16,6,0,6,37,0,37,3,47,32,15,12,1,10,6,4,"weekend"
2017-05-21 03:00:00,2017-05-21,3,3,1,2,5,0,16,7,1,12,4,0,4,9,0,9,0,39,24,15,3,3,8,4,4,"weekend"
2017-05-21 04:00:00,2017-05-21,4,5,4,1,10,1,8,3,4,6,0,0,0,5,0,5,0,19,11,8,3,2,3,1,2,"weekend"
2017-05-21 05:00:00,2017-05-21,5,5,3,2,6,1,6,5,2,5,9,2,7,4,0,4,0,18,10,8,5,6,10,4,6,"weekend"
2017-05-21 06:00:00,2017-05-21,6,8,6,2,21,4,9,18,10,6,13,2,11,12,1,11,2,19,9,10,15,6,10,1,9,"weekend"
2017-05-21 07:00:00,2017-05-21,7,12,10,2,31,2,18,18,15,12,28,4,24,17,5,12,1,30,17,13,24,6,25,4,21,"weekend"
2017-05-21 08:00:00,2017-05-21,8,23,16,7,44,3,24,19,27,7,49,4,45,40,4,36,11,62,29,33,42,12,48,9,39,"weekend"
2017-05-21 09:00:00,2017-05-21,9,58,33,25,72,7,38,41,33,32,108,15,93,72,9,63,34,116,51,65,84,24,66,12,54,"weekend"
